회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보
(주)인티그리트,"[지능형 로보틱스 플랫폼] AI 플랫폼,디바이스S/W, 펌웨어 개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49194403&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 강남구,경력무관,학력무관,정규직,~ 12/13(금),"Python, C++, Linux, 솔루션, AWS 외                    수정일 24/11/21",IT개발·데이터 스크랩 급상승
(주)노르마,머신러닝/인공지능 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49287443&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 성동구,신입·경력,대졸↑,정규직,~ 11/30(토),"Python, 딥러닝, 머신러닝, 알고리즘, 데이터분석가 외                    등록일 24/10/28",취업축하금
이인텔리전스(주),[ADAS/ADS 개발] Vision AI 개발 신입/경력 사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49295359&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 강남구,신입·경력,대졸↑,정규직,채용시,"Python, C++, 딥러닝, Linux, 알고리즘 외                    등록일 24/10/29",평균연봉 상위 10%
(주)페칭,[페칭] 패션 플랫폼 Node.js 백엔드 개발자 (신입·경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49320667&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 서초구,경력무관,학력무관,정규직·계약직,상시채용,"Python, Java, Linux, AWS, 웹개발 외                    수정일 24/11/01",Pre A 투자유치
(주)도슨티,급성장 초기 AI 스타트업 수퍼 개발자 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49321274&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 관악구,경력무관,학력무관,정규직·계약직,상시채용,"Python, 웹개발, 데이터엔지니어, 백엔드/서버개발, ICT컨설팅 외                    등록일 24/11/01",연구·R&D 스크랩 급상승
(주)나라스페이스테크놀로지,[NARA SPACE] 나라스페이스 기술부문 인재 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49380693&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 영등포구,신입·경력,학력무관,정규직,~ 01/10(금),"Python, AWS, 웹개발, 알고리즘, 데이터엔지니어 외                    수정일 24/11/11",연봉상승률 10% 이상
(주)액션파워,인공지능/머신러닝 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432355&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 관악구,신입·경력,대졸↑,정규직,~ 12/18(수),"Python, 딥러닝, Linux, 머신러닝, AWS 외                    수정일 24/11/19",취업축하금
(주)코딧,[SW] 하반기 프론트엔드 개발자 인턴 채용 (React.js),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49129549&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 영등포구,신입,대졸↑,인턴직,채용시,"Python, 프론트엔드, React, React-Native, 빅데이터 외                    수정일 24/11/21",인기있는
(주)스페이스인사이트,도시/교통분야 빅데이터 분석 및 R&D 연구인력 (신입/경력) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49284337&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 강서구,경력무관,대졸↑,정규직,~ 12/27(금),"Python, 딥러닝, 머신러닝, AI(인공지능), 연구원 외                    수정일 24/11/19",인기있는
울랄라랩(주),산업용 IoT디바이스 임베디드 (Embedded) 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49285175&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,경기 안양시 동안구,경력무관,초대졸↑,정규직,~ 12/27(금),"Python, C++, Linux, 머신러닝, 알고리즘 외                    수정일 24/10/29",인기있는
(주)뉴로다임,AI(딥러닝) 연구 및 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49319911&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 성동구,신입·경력,대졸↑,정규직,~ 12/03(화),"Python, 딥러닝, Linux, 머신러닝, 데이터분석가 외                    등록일 24/11/01",취업축하금
(주)에이아이네이션,[AInation] 인공지능 백앤드(Back-End) 개발자 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49350341&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 서초구,경력무관,학력무관,정규직,~ 12/06(금),"Python, 솔루션, AWS, 알고리즘, 백엔드/서버개발 외                    수정일 24/11/26",시리즈A 투자유치
엠클라우드브리지(주),MS 데이터엔지니어(Fabric/ML) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49358779&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 강남구,경력무관,학력무관,정규직,~ 12/07(토),"Python, 머신러닝, 데이터분석가, 데이터엔지니어, 데이터시각화 외                    등록일 24/11/07",인기있는
미래융합교육원,건양대학교병원_바이오 메디컬 AI(의료 인공지능) 개발자 교육생 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49376633&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,대전 서구,경력무관,대졸↑,교육생,~ 12/20(금),"Python, Java, 딥러닝, 솔루션, 머신러닝 외                    수정일 24/11/18",인기있는
NIMBYX CAPITAL INC.,AI / ML Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49288478&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 강남구,신입·경력,대졸↑,정규직,~ 12/27(금),"Python, 딥러닝, 머신러닝, 데이터분석가, 데이터엔지니어 외                    등록일 24/10/28",재택근무
(주)오티톤메디컬,[플랫폼 개발자 및 AI 개발자] 기술지원 직무 채용 (벤처기업),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49400874&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 금천구,경력무관,학력무관,정규직,상시채용,"Python, Java, 딥러닝, 기술지원, 데이터엔지니어 외                    수정일 24/11/22",
(주)케이엔아이씨,2025 인턴 6기 ERP·WEB·AI 개발자 신입/경력 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49271089&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,경남 창원시,경력무관,대졸↑,정규직·인턴직,~ 11/29(금),"Python, C++, Java, 웹개발, 백엔드/서버개발 외                    수정일 24/10/28",인기있는
(주)뮤디오션,[백엔드] 백엔드/서버개발자 신입 / 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49389031&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,서울 강남구,경력무관,학력무관,정규직,~ 12/12(목),"Python, Java, 백엔드/서버개발, 클라우드, API 외                    등록일 24/11/12",IT개발·데이터 스크랩 급상승
(주)페픽,웹 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49427808&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7debc1b8-fc93-4314-829c-73bb98aa2e5a,광주 동구,경력무관,학력무관,정규직·계약직,~ 12/19(목),"Python, 웹개발, 백엔드/서버개발, CSS, Django 외                    등록일 24/11/19",간식 제공
(주)유아이엠디,영상처리 알고리즘 개발자 채용 [전문연구요원 가능],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438298&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 과천시,신입·경력,석사↑,정규직,~ 12/19(목),"Python, C++, 딥러닝, 머신러닝, 알고리즘 외                    수정일 24/11/20",취업축하금
에이치알서비스(주),외국계 전기·전자 관련 기업 기술지원 채용건(신입가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49447013&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 영등포구,경력무관,대졸↑,계약직,~ 12/21(토),"Python, C++, 딥러닝, 솔루션, 웹개발 외                    수정일 24/11/25",
일드엔지니어링시스템즈코리아주식회사,각 부문별 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390895&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 화성시,경력,대졸↑,정규직,~ 12/08(일),"Python, 기술지원, H/W, Matlab, 기술영업 외                    수정일 24/11/13",
(주)지피티코리아,"생성형AI기반 웹서비스 개발자 채용 - Next.js, React (신입)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49376887&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 금천구,신입,대졸↑,정규직,~ 12/11(수),"Python, 솔루션, 웹개발, 프론트엔드, 반응형웹 외                    등록일 24/11/11",
아타드(주),클라우드 인프라 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467655&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 강남구,경력 1~5년,초대졸↑,정규직,~ 12/24(화),"Python, Java, AWS, 웹개발, 백엔드/서버개발 외                    등록일 24/11/25",취업축하금
아타드(주),"[VPN] 백엔드, 서버 개발자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467658&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 강남구,경력 1~5년,대졸↑,정규직,~ 12/24(화),"Python, C++, Java, Linux, AWS 외                    등록일 24/11/25",취업축하금
왓트(주),Watt 개발 전문인력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49403249&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 서초구,경력무관,학력무관,정규직,상시채용,"Python, Java, 머신러닝, AWS, 알고리즘 외                    등록일 24/11/14",
인사이트,[백엔드/서버개발] 경력 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49360966&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,부산 금정구,경력무관,대졸↑,정규직,~ 12/08(일),"Python, C++, Java, 솔루션, 웹개발 외                    등록일 24/11/08",인기있는
(주)커맨드,[백엔드] 백엔드/서버개발자 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467190&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경남 창원시,경력무관,학력무관,정규직,~ 01/24(금),"Python, Java, 솔루션, 백엔드/서버개발, 클라우드 외                    등록일 24/11/25",인기있는
괴산스마트유기농사업단,"[데이터 엔지니어] 노지 스마트 농업 데이터 수집, 분석가 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468043&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,충북 괴산군,경력무관,대졸↑,정규직·계약직,~ 12/13(금),"Python, 데이터분석가, 빅데이터, 클라우드, ETL 외                    등록일 24/11/25",
프리베노틱스(주),의료 영상기반 AI 알고리즘 개발 R&D팀 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49300101&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 서초구,경력무관,대졸↑,정규직,채용시,"Python, C++, 딥러닝, Linux, 솔루션 외                    수정일 24/10/30",재택근무
(주)엠마헬스케어,개발자 : 성남 본사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49315881&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 성남시 분당구,신입·경력,초대졸↑,정규직·계약직,~ 11/30(토),"Python, Java, 딥러닝, Linux, 솔루션 외                    수정일 24/11/13",인기있는
(주)미니레코드,AI 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49338188&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울전체,신입·경력,학력무관,정규직,~ 12/04(수),"Python, Java, 딥러닝, 머신러닝, AWS 외                    등록일 24/11/05",취업축하금
(주)아이디벨,백엔드 개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49391326&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 하남시,경력무관,대졸↑,정규직,상시채용,"Python, C++, Java, 백엔드/서버개발, 퍼블리셔 외                    수정일 24/11/13",IT개발·데이터 스크랩 급상승
(주)테이텀,백엔드 개발자 (경력 3년~5년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464251&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 강남구,경력 3~5년,대졸↑,정규직,~ 12/24(화),"Python, 딥러닝, 솔루션, 머신러닝, AWS 외                    수정일 24/11/25",취업축하금
(주)부동산플래닛,[데이터분석가] Data Analyst,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463257&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 강남구,신입·경력,석사↑,정규직,~ 12/24(화),"Python, SE(시스템엔지니어), 데이터마이닝, 데이터시각화, 빅데이터 외                    수정일 24/11/25",취업축하금
주식회사 세미파이브,Scala/Chisel Engineer (SoC Design) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476747&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 성남시 분당구,신입·경력,대졸↑,정규직,채용시,"Python, Java, Linux, Scala, 설계엔지니어 외                    등록일 24/11/26",인기있는
현대오토에버(주),Network Engineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47669642&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 강남구,경력3년↑,학력무관,정규직,상시채용,"Python, 데이터엔지니어, 네트워크, 클라우드, C언어 외                    수정일 24/05/29",연봉상승률 20% 이상
(주)테크랩스,마케팅 데이터 분석 (브랜드엑셀러레이팅사업부),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410863&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 강남구,경력 2~10년,대졸↑,정규직,~ 12/14(토),"Python, 데이터분석가, R, SQL, 마케팅기획 외                    수정일 24/11/15",취업축하금
(주)씨메스,[CMES] 어플리케이션 기구 설계 엔지니어(이차전지 검사사업부) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420646&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,충북 청주시,신입·경력,초대졸↑,정규직,~ 12/15(일),"Python, C++, Java, 알고리즘, 기술지원 외                    수정일 24/11/18",시리즈B 투자유치
(주)씨에스아이엔테크,펌웨어 개발 채용 - 신입/경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49339482&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,인천 계양구,신입·경력,초대졸↑,정규직,~ 11/30(토),"Python, Linux, 웹개발, 알고리즘, 임베디드 외                    수정일 24/11/05",평균연봉 상위 10%
(주)테크웨이즈,[㈜테크웨이즈 기술영업 및 기술지원 신입.경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49416751&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 용인시 수지구,신입·경력,초대졸↑,정규직,~ 12/08(일),"Python, 솔루션, 기술지원, 네트워크, 자율주행 외                    수정일 24/11/18",인기있는
(주)라피치,[AI음성기술전문] 웹개발 담당 채용(경력무관/육아휴직 대체),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49190324&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 강남구,경력무관,고졸↑,기간제·계약직,채용시,"Python, Java, Linux, 솔루션, AWS 외                    수정일 24/10/16",IT개발·데이터 스크랩 급상승
이오테크닉스,(주)이오테크닉스 개발자 모집 (AI분야),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49213716&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 안양시 동안구,경력무관,학력무관,정규직,~ 12/16(월),"Python, C++, 딥러닝, 솔루션, 머신러닝 외                    수정일 24/11/18",평균연봉 상위 10%
이오테크닉스,(주)이오테크닉스 개발자 모집 (제어SW),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49282992&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 안양시 동안구,신입·경력,학력무관,정규직,~ 12/27(금),"Python, C++, 임베디드, S/W, C# 외                    수정일 24/11/18",평균연봉 상위 10%
무인양품(주),[MUJI] 무인양품 정보시스템 IT기획/전략 파트 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49308056&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 중구,경력 7~12년,대졸↑,정규직,채용시,"Python, Java, 기술지원, 데이터분석가, 데이터엔지니어 외                    수정일 24/11/15",급성장중
(주)제노레이,[신입/경력] 소프트웨어(SW) 우수인재 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394510&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 강남구,경력무관,대졸↑,정규직,~ 12/27(금),"Python, C++, 기술지원, FPGA, H/W 외                    수정일 24/11/13",자유로운 연차
(주)미디어윌네트웍스,[알바천국] 웹개발자 정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49399815&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 강남구,경력 3~10년,초대졸↑,정규직,내일마감,"Python, C++, 웹개발, 프론트엔드, .NET 외                    등록일 24/11/14",인기있는
국립암센터,공간지리정보 데이터 파이프라인 구축 참여연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49295121&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 고양시 일산동구,경력무관,대졸↑,위촉직,내일마감,"Python, 데이터분석가, QGIS, R, SQL 외                    수정일 24/10/29",재택근무
(주)솔리드이엔지,(주)솔리드이엔지 Cloud - 클라우드 기술 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49353697&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,대전 유성구,경력무관,학력무관,정규직,채용시,"Python, Java, Linux, AWS, 기술지원 외                    등록일 24/11/07",인기있는
한국행정연구원(사),2024년도 제5차 직원 채용공고(일반행정),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408008&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 은평구,경력무관,학력무관,무기계약직·계약직,~ 11/29(금),"Python, AI(인공지능), 사무직, 문서작성, 사무보조 외                    수정일 24/11/15",마감임박
(주)바텍,[바텍이우홀딩스] 영상처리 알고리즘 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49473396&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 화성시,경력4년↑,대졸↑,정규직,~ 12/26(목),"Python, C++, 딥러닝, 머신러닝, 알고리즘 외                    등록일 24/11/26",인기있는
새론오토모티브㈜,2024 새론오토모티브 경력사원 채용(정보화IT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49437976&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,충남 천안시 동남구,경력3년↑,대졸↑,정규직,~ 12/06(금),"Python, Java, ERP, RPA, C# 외                    등록일 24/11/20",IT개발·데이터 스크랩 급상승
투아이시스(주),투아이시스(주) 머신비전 [운영]SW개발자 모집(신입지원가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471086&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 군포시,경력무관,초대졸↑,정규직,채용시,"Python, C++, 솔루션, 머신러닝, 알고리즘 외                    등록일 24/11/26",평균연봉 상위 10%
(주)이파피루스,[ePapyrus] 백엔드 개발자(JAVA) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465012&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 성남시 분당구,경력 3~15년,학력무관,정규직,~ 01/24(금),"Python, Java, 솔루션, AWS, 웹개발 외                    등록일 24/11/25",연봉상승률 15% 이상
브레인즈컴퍼니(주),[상장사/성수동] ITSM 프로젝트 수행 인력 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467774&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 성동구,경력 5~13년,학력무관,정규직,~ 12/01(일),"Python, C++, Java, 솔루션, 웹개발 외                    등록일 24/11/25",IT개발·데이터 지원 급상승
(주)이스트게임즈,[신입] 캐주얼 전략액션 클라이언트 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49340879&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,서울 서초구,신입,학력무관,정규직,~ 01/04(토),"Python, C++, Java, Linux, 웹개발 외                    수정일 24/11/14",연봉상승률 10% 이상
(주)트윔,"[면접비 지급] 프로그램 개발, 운용 필드엔지니어 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49313116&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,경기 화성시,신입·경력,초대졸↑,정규직,~ 11/30(토),"Python, C++, Java, 딥러닝, 솔루션 외                    등록일 24/11/01",인기있는
(주)스피어에이엑스,공공기관 상주 정보통신 장비 유지보수 기술직 인원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472175&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,부산 연제구,경력 1~3년,초대졸↑,계약직,~ 12/26(목),"Python, C++, Java, Linux, 솔루션 외                    등록일 24/11/26",연봉상승률 10% 이상
(주)한맥아이피에스,연구개발부(프론트엔드 개발자/백엔드 개발자/응용 프로그래머/AI/ML 엔지니어) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49303810&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=16a4a017-0bb2-4005-8188-d24fe6ff6c65,대구 수성구,경력,학력무관,정규직,~ 11/29(금),"Python, C++, Java, 딥러닝, 솔루션 외                    수정일 24/10/30",기획·전략 지원 급상승
(주)사람인에이치에스,[서울/정규직/고성과급] Linux S/W 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49278438&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9153d53c-14d8-4411-9f55-675cb2409992,서울 동작구,경력2년↑,학력무관,정규직,채용시,"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/27",워라밸
(주)인실리코젠,데이터 사이언티스트 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409764&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9153d53c-14d8-4411-9f55-675cb2409992,경기 용인시 기흥구,신입·경력,대졸↑,정규직·계약직,~ 12/31(화),"Python, 딥러닝, Linux, 머신러닝, 알고리즘 외                    수정일 24/11/19",연봉상승률 10% 이상
(주)리트빅,"[판교] 임베디드 응용S/W, BSP 개발자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49454332&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9153d53c-14d8-4411-9f55-675cb2409992,경기 성남시 수정구,신입·경력,대졸↑,정규직,~ 12/31(화),"Python, C++, Linux, AWS, 임베디드 외                    수정일 24/11/22",연봉상승률 10% 이상
(주)에스아이아이에스,위성영상 품질관리(영상기술) 직무 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49393847&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9153d53c-14d8-4411-9f55-675cb2409992,대전 유성구,경력무관,대졸↑,정규직·계약직,~ 12/13(금),"Python, 기술지원, 데이터엔지니어, 유지보수, 네트워크 외                    수정일 24/11/13",급성장중
(주)아이디어콘서트,[아이디어콘서트] 개발자 모집 (Back End),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49434293&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9153d53c-14d8-4411-9f55-675cb2409992,경기 성남시 수정구,경력무관,학력무관,정규직·계약직,~ 12/22(일),"Python, Java, 딥러닝, 머신러닝, 웹개발 외                    등록일 24/11/20",워라밸
